product_id,name,category,brand,price,rating,description,tags
PRD021,Sparx Sports Sandals,Fashion,Sparx,853.0,4.5,Sparx Sports Sandals. Durable sports sandals with adjustable straps and a cushioned anti-skid sole. Machine washable fabric that holds colour after repeated washes. Reinforced stitching at stress points for a longer life.,sandals sports comfortable anti-skid outdoor sparx sports sandals
PRD022,Hawkins Bedsheet Set 2.0,Home & Kitchen,Hawkins,1213.0,3.5,"Hawkins Bedsheet Set 2.0. Cotton double bedsheet with 2 pillow covers, soft weave and colourfast dye. Compact enough to store on a regular kitchen shelf. Works on gas stoves as well as induction cooktops.",bedsheet cotton home bedroom hawkins bedsheet set
PRD023,Pigeon Bedsheet Set Plus,Home & Kitchen,Pigeon,857.0,4.0,"Pigeon Bedsheet Set Plus. Cotton double bedsheet with 2 pillow covers, soft weave and colourfast dye. Compact enough to store on a regular kitchen shelf. Backed by a replacement guarantee against manufacturing defects.",bedsheet cotton home bedroom pigeon bedsheet set
PRD024,Levis Running Shorts Classic,Fashion,Levis,408.0,4.5,Levis Running Shorts Classic. Quick dry running shorts with an elastic waistband and side pockets. Pairs easily with both formal trousers and weekend denim. Available in a regular fit that suits most Indian body types.,shorts running sports clothing quickdry levis running shorts
PRD025,Nivea Face Wash Max,Beauty,Nivea,157.0,3.8,"Nivea Face Wash Max. Gentle daily face wash with neem and aloe for oil control and clear skin. A little goes a long way, so one pack lasts for months. Travel friendly pack that fits in a handbag.",facewash skincare beauty cleanser daily nivea face wash
PRD026,Milton Steel Lunch Box Plus,Home & Kitchen,Milton,781.0,3.2,Milton Steel Lunch Box Plus. Leak proof stainless steel lunch box with 3 compartments and an insulated sleeve. Dishwasher safe and easy to clean after heavy Indian cooking. Food grade stainless steel with no plastic in contact with food.,lunchbox steel kitchen tiffin insulated milton steel lunch box
PRD027,Puma Cotton T-Shirt Max M128,Fashion,Puma,488.0,4.6,Puma Cotton T-Shirt Max M128. Soft combed cotton t shirt with a round neck and colourfast print. Available in a regular fit that suits most Indian body types. A staple piece that works from office desk to evening out.,tshirt cotton casual clothing comfortable puma cotton t-shirt
PRD028,Mi Bluetooth Mouse,Electronics,Mi,576.0,3.6,Mi Bluetooth Mouse. Silent click wireless mouse with adjustable DPI and 13 month battery life. Designed and tested in India for daily commute use. Comes with a one year manufacturer warranty and free doorstep service.,mouse wireless bluetooth computer silent mi bluetooth mouse
PRD029,Lakme Sunscreen SPF 50 2.0,Beauty,Lakme,431.0,4.5,"Lakme Sunscreen SPF 50 2.0. Non greasy broad spectrum SPF 50 sunscreen suitable for daily Indian sun exposure. A little goes a long way, so one pack lasts for months. Free from parabens, sulphates and mineral oil.",sunscreen spf skincare beauty protection lakme sunscreen spf 50
PRD030,Mi Power Bank Max,Electronics,Mi,1686.0,4.0,Mi Power Bank Max. Fast charging power bank with 11000mAh capacity and dual output ports. Lightweight build that slips easily into a laptop bag or jacket pocket. Tuned for punchy bass with a clear mid range for podcasts and calls.,powerbank charger battery portable fast mi power bank
PRD031,Lakme Sunscreen SPF 50 2.0 M132,Beauty,Lakme,547.0,4.7,"Lakme Sunscreen SPF 50 2.0 M132. Non greasy broad spectrum SPF 50 sunscreen suitable for daily Indian sun exposure. Free from parabens, sulphates and mineral oil. Formulated for Indian weather, from dry winters to humid monsoons.",sunscreen spf skincare beauty protection lakme sunscreen spf 50
PRD032,Levis Leather Belt Classic,Fashion,Levis,823.0,3.9,Levis Leather Belt Classic. Genuine leather belt with a brushed metal buckle and reversible strap. Machine washable fabric that holds colour after repeated washes. Breathable weave keeps you cool through humid afternoons.,belt leather accessory formal levis leather belt
PRD033,Mi USB-C Cable Classic,Electronics,Mi,160.0,3.8,Mi USB-C Cable Classic. Braided USB C fast charging cable rated for 60W with reinforced connectors. Tuned for punchy bass with a clear mid range for podcasts and calls. Pairs instantly over Bluetooth 5.3 and remembers the last two devices.,cable usbc charging fast braided mi usb-c cable
PRD034,Noise USB-C Cable Max,Electronics,Noise,150.0,4.6,Noise USB-C Cable Max. Braided USB C fast charging cable rated for 80W with reinforced connectors. Type C fast charging gives a full day of use from a ten minute top up. Tuned for punchy bass with a clear mid range for podcasts and calls.,cable usbc charging fast braided noise usb-c cable
PRD035,Hawkins Steel Lunch Box Pro,Home & Kitchen,Hawkins,438.0,4.0,Hawkins Steel Lunch Box Pro. Leak proof stainless steel lunch box with 2 compartments and an insulated sleeve. Ergonomic handle stays cool while cooking. Works on gas stoves as well as induction cooktops.,lunchbox steel kitchen tiffin insulated hawkins steel lunch box
PRD036,JBL Wired Earphones 2.0,Electronics,JBL,313.0,3.7,"JBL Wired Earphones 2.0. In ear wired earphones with a moulded fit, tangle free cable and inline mic. Tuned for punchy bass with a clear mid range for podcasts and calls. Lightweight build that slips easily into a laptop bag or jacket pocket.",earphones wired audio music mic jbl wired earphones
PRD037,Cello Non-Stick Tawa Plus,Home & Kitchen,Cello,584.0,4.3,"Cello Non-Stick Tawa Plus. Non stick tawa with a heat resistant handle, perfect for rotis and dosas. Backed by a replacement guarantee against manufacturing defects. A practical gift for a new home or a wedding.",tawa kitchen cooking nonstick pan cello non-stick tawa
PRD038,Bata Cotton Kurta Max,Fashion,Bata,691.0,3.6,"Bata Cotton Kurta Max. Breathable cotton kurta with a regular fit, ideal for daily wear and festive occasions. Pairs easily with both formal trousers and weekend denim. Available in a regular fit that suits most Indian body types.",kurta cotton ethnic clothing comfortable bata cotton kurta
PRD039,Himalaya Hair Serum Plus,Beauty,Himalaya,936.0,3.7,"Himalaya Hair Serum Plus. Anti frizz hair serum with argan oil for smooth, shiny and manageable hair. Formulated for Indian weather, from dry winters to humid monsoons. Dermatologically tested and suitable for sensitive skin.",serum hair beauty frizz argan himalaya hair serum
PRD040,Apple Bluetooth Mouse Max,Electronics,Apple,817.0,3.9,Apple Bluetooth Mouse Max. Silent click wireless mouse with adjustable DPI and 12 month battery life. Environment noise cancellation makes voice calls clear on busy streets. Tuned for punchy bass with a clear mid range for podcasts and calls.,mouse wireless bluetooth computer silent apple bluetooth mouse
PRD041,Yonex Cricket Bat Plus,Sports,Yonex,1121.0,3.4,Yonex Cricket Bat Plus. Kashmir willow cricket bat with a short handle and sturdy toe guard. Sweat resistant finish wipes clean after every session. Suits beginners while still holding up for regular players.,cricket bat sports willow game yonex cricket bat
PRD042,Prestige Electric Kettle Plus,Home & Kitchen,Prestige,2999.0,4.4,Prestige Electric Kettle Plus. Rapid boil electric kettle with a 1 litre capacity and auto shut off. Dishwasher safe and easy to clean after heavy Indian cooking. Food grade stainless steel with no plastic in contact with food.,kettle electric kitchen tea coffee boil prestige electric kettle
PRD043,Samsung Smart Watch Pro,Electronics,Samsung,1615.0,4.0,"Samsung Smart Watch Pro. Smart watch with a 11 day battery, SpO2 tracking, heart rate monitor and call support. Lightweight build that slips easily into a laptop bag or jacket pocket. Pairs instantly over Bluetooth 5.3 and remembers the last two devices.",watch smartwatch fitness tracker battery samsung smart watch
PRD044,Woodland Formal Shirt Pro,Fashion,Woodland,1002.0,4.8,Woodland Formal Shirt Pro. Wrinkle resistant formal shirt in a slim fit with a spread collar. A staple piece that works from office desk to evening out. Pairs easily with both formal trousers and weekend denim.,shirt formal office clothing slim woodland formal shirt
PRD045,Sparx Formal Shirt,Fashion,Sparx,959.0,3.8,Sparx Formal Shirt. Wrinkle resistant formal shirt in a slim fit with a spread collar. Machine washable fabric that holds colour after repeated washes. Available in a regular fit that suits most Indian body types.,shirt formal office clothing slim sparx formal shirt
PRD046,Cello Pressure Cooker Max,Home & Kitchen,Cello,2604.0,4.2,Cello Pressure Cooker Max. Induction friendly pressure cooker with a 3 litre capacity and safety valve. Food grade stainless steel with no plastic in contact with food. Compact enough to store on a regular kitchen shelf.,cooker kitchen cooking induction steel cello pressure cooker
PRD047,Apple Smart Watch Lite,Electronics,Apple,1555.0,3.5,"Apple Smart Watch Lite. Smart watch with a 6 day battery, SpO2 tracking, heart rate monitor and call support. Pairs instantly over Bluetooth 5.3 and remembers the last two devices. Tuned for punchy bass with a clear mid range for podcasts and calls.",watch smartwatch fitness tracker battery apple smart watch
PRD048,Lakme Face Wash 2.0,Beauty,Lakme,799.0,4.6,Lakme Face Wash 2.0. Gentle daily face wash with neem and aloe for oil control and clear skin. Absorbs quickly without leaving a sticky residue. Dermatologically tested and suitable for sensitive skin.,facewash skincare beauty cleanser daily lakme face wash
PRD049,Milton Pressure Cooker,Home & Kitchen,Milton,1532.0,3.7,Milton Pressure Cooker. Induction friendly pressure cooker with a 4 litre capacity and safety valve. A practical gift for a new home or a wedding. Ergonomic handle stays cool while cooking.,cooker kitchen cooking induction steel milton pressure cooker
PRD050,Allen Solly Cotton T-Shirt,Fashion,Allen Solly,312.0,4.2,"Allen Solly Cotton T-Shirt. Soft combed cotton t shirt with a round neck and colourfast print. Machine washable fabric that holds colour after repeated washes. Skin friendly dye, free from harsh azo chemicals.",tshirt cotton casual clothing comfortable allen solly cotton t-shirt
PRD051,Woodland Cotton Kurta 2.0,Fashion,Woodland,755.0,3.4,"Woodland Cotton Kurta 2.0. Breathable cotton kurta with a regular fit, ideal for daily wear and festive occasions. A staple piece that works from office desk to evening out. Available in a regular fit that suits most Indian body types.",kurta cotton ethnic clothing comfortable woodland cotton kurta
PRD052,Boult Power Bank,Electronics,Boult,1689.0,4.8,Boult Power Bank. Fast charging power bank with 18000mAh capacity and dual output ports. Type C fast charging gives a full day of use from a ten minute top up. Environment noise cancellation makes voice calls clear on busy streets.,powerbank charger battery portable fast boult power bank
PRD053,Cosco Dumbbell Set Pro,Sports,Cosco,2360.0,3.4,Cosco Dumbbell Set Pro. PVC coated dumbbell set of 10kg pairs with a knurled grip. Durable materials that survive a full season of use. Comes with a carry bag for easy storage and transport.,dumbbell fitness gym weights exercise cosco dumbbell set
PRD054,Nike Cricket Bat 2.0,Sports,Nike,1327.0,3.6,Nike Cricket Bat 2.0. Kashmir willow cricket bat with a short handle and sturdy toe guard. Sweat resistant finish wipes clean after every session. Tested for grip on both indoor courts and rough outdoor surfaces.,cricket bat sports willow game nike cricket bat
PRD055,Maybelline Sunscreen SPF 50 Plus,Beauty,Maybelline,497.0,4.0,"Maybelline Sunscreen SPF 50 Plus. Non greasy broad spectrum SPF 50 sunscreen suitable for daily Indian sun exposure. Absorbs quickly without leaving a sticky residue. Formulated for Indian weather, from dry winters to humid monsoons.",sunscreen spf skincare beauty protection maybelline sunscreen spf 50
PRD056,Milton Steel Lunch Box Plus M157,Home & Kitchen,Milton,1613.0,4.1,Milton Steel Lunch Box Plus M157. Leak proof stainless steel lunch box with 3 compartments and an insulated sleeve. Compact enough to store on a regular kitchen shelf. A practical gift for a new home or a wedding.,lunchbox steel kitchen tiffin insulated milton steel lunch box
PRD057,Sony Bluetooth Speaker Plus,Electronics,Sony,1157.0,3.3,"Sony Bluetooth Speaker Plus. Portable bluetooth speaker with 23 hour playback, deep bass and IPX6 splash resistance. Tuned for punchy bass with a clear mid range for podcasts and calls. Type C fast charging gives a full day of use from a ten minute top up.",speaker bluetooth wireless audio bass portable sony bluetooth speaker
PRD058,Mi Power Bank Max M159,Electronics,Mi,2999.0,3.4,Mi Power Bank Max M159. Fast charging power bank with 16000mAh capacity and dual output ports. Tuned for punchy bass with a clear mid range for podcasts and calls. Environment noise cancellation makes voice calls clear on busy streets.,powerbank charger battery portable fast mi power bank
PRD059,Wonderchef Storage Container Set 2.0,Home & Kitchen,Wonderchef,592.0,3.7,"Wonderchef Storage Container Set 2.0. Airtight storage container set of 6, stackable and dishwasher safe. Compact enough to store on a regular kitchen shelf. Dishwasher safe and easy to clean after heavy Indian cooking.",container storage kitchen airtight set wonderchef storage container set
PRD060,HarperCollins Cookbook,Books,HarperCollins,785.0,4.6,HarperCollins Cookbook. A regional Indian cookbook with 80 tested home style recipes and cooking tips. Widely recommended by readers and reviewers alike. A thoughtful gift for a curious friend or a student.,book cookbook cooking recipes kitchen gift harpercollins cookbook
PRD061,Prestige Non-Stick Tawa Pro,Home & Kitchen,Prestige,1999.0,3.3,"Prestige Non-Stick Tawa Pro. Non stick tawa with a heat resistant handle, perfect for rotis and dosas. Compact enough to store on a regular kitchen shelf. Dishwasher safe and easy to clean after heavy Indian cooking.",tawa kitchen cooking nonstick pan prestige non-stick tawa
PRD062,Cello Pressure Cooker Classic,Home & Kitchen,Cello,1709.0,4.6,Cello Pressure Cooker Classic. Induction friendly pressure cooker with a 7 litre capacity and safety valve. Works on gas stoves as well as induction cooktops. Food grade stainless steel with no plastic in contact with food.,cooker kitchen cooking induction steel cello pressure cooker
PRD063,JBL Bluetooth Speaker Lite,Electronics,JBL,1768.0,4.1,"JBL Bluetooth Speaker Lite. Portable bluetooth speaker with 21 hour playback, deep bass and IPX6 splash resistance. Comes with a one year manufacturer warranty and free doorstep service. Environment noise cancellation makes voice calls clear on busy streets.",speaker bluetooth wireless audio bass portable jbl bluetooth speaker
PRD064,Noise Wired Earphones Lite,Electronics,Noise,539.0,3.4,"Noise Wired Earphones Lite. In ear wired earphones with a moulded fit, tangle free cable and inline mic. Type C fast charging gives a full day of use from a ten minute top up. Lightweight build that slips easily into a laptop bag or jacket pocket.",earphones wired audio music mic noise wired earphones
PRD065,Sony USB-C Cable Max,Electronics,Sony,211.0,3.2,Sony USB-C Cable Max. Braided USB C fast charging cable rated for 100W with reinforced connectors. Type C fast charging gives a full day of use from a ten minute top up. Lightweight build that slips easily into a laptop bag or jacket pocket.,cable usbc charging fast braided sony usb-c cable
PRD066,JBL Wired Earphones Classic,Electronics,JBL,487.0,3.4,"JBL Wired Earphones Classic. In ear wired earphones with a moulded fit, tangle free cable and inline mic. Comes with a one year manufacturer warranty and free doorstep service. Environment noise cancellation makes voice calls clear on busy streets.",earphones wired audio music mic jbl wired earphones
PRD067,Woodland Sports Sandals Lite,Fashion,Woodland,1999.0,4.3,Woodland Sports Sandals Lite. Durable sports sandals with adjustable straps and a cushioned anti-skid sole. Reinforced stitching at stress points for a longer life. Breathable weave keeps you cool through humid afternoons.,sandals sports comfortable anti-skid outdoor woodland sports sandals
PRD068,Peter England Formal Shirt Max,Fashion,Peter England,1019.0,4.1,"Peter England Formal Shirt Max. Wrinkle resistant formal shirt in a slim fit with a spread collar. Skin friendly dye, free from harsh azo chemicals. Pairs easily with both formal trousers and weekend denim.",shirt formal office clothing slim peter england formal shirt
PRD069,Woodland Formal Shirt,Fashion,Woodland,1644.0,4.8,Woodland Formal Shirt. Wrinkle resistant formal shirt in a slim fit with a spread collar. Reinforced stitching at stress points for a longer life. Machine washable fabric that holds colour after repeated washes.,shirt formal office clothing slim woodland formal shirt
PRD070,Wonderchef Pressure Cooker,Home & Kitchen,Wonderchef,1246.0,3.6,Wonderchef Pressure Cooker. Induction friendly pressure cooker with a 6 litre capacity and safety valve. Works on gas stoves as well as induction cooktops. Ergonomic handle stays cool while cooking.,cooker kitchen cooking induction steel wonderchef pressure cooker
PRD071,Himalaya Moisturising Cream Pro,Beauty,Himalaya,243.0,4.2,"Himalaya Moisturising Cream Pro. Lightweight moisturising cream with vitamin E for 32 hour hydration. A little goes a long way, so one pack lasts for months. Cruelty free and never tested on animals.",cream moisturiser skincare beauty hydration himalaya moisturising cream
PRD072,Aleph Children's Storybook Plus,Books,Aleph,226.0,3.6,"Aleph Children's Storybook Plus. An illustrated children's storybook with 17 short bedtime stories. A thoughtful gift for a curious friend or a student. Written in clear, accessible language for the general reader.",book children stories illustrated reading aleph children's storybook
PRD073,Mi Power Bank 2.0,Electronics,Mi,1540.0,3.5,Mi Power Bank 2.0. Fast charging power bank with 14000mAh capacity and dual output ports. Designed and tested in India for daily commute use. Comes with a one year manufacturer warranty and free doorstep service.,powerbank charger battery portable fast mi power bank
PRD074,Plum Moisturising Cream,Beauty,Plum,209.0,4.4,"Plum Moisturising Cream. Lightweight moisturising cream with vitamin E for 27 hour hydration. Dermatologically tested and suitable for sensitive skin. Free from parabens, sulphates and mineral oil.",cream moisturiser skincare beauty hydration plum moisturising cream
PRD075,Sparx Leather Belt 2.0,Fashion,Sparx,1008.0,3.9,Sparx Leather Belt 2.0. Genuine leather belt with a brushed metal buckle and reversible strap. Machine washable fabric that holds colour after repeated washes. Breathable weave keeps you cool through humid afternoons.,belt leather accessory formal sparx leather belt
PRD076,Nivia Football Max,Sports,Nivia,579.0,3.9,"Nivia Football Max. Machine stitched football with a durable rubber bladder, size 5. Durable materials that survive a full season of use. Suits beginners while still holding up for regular players.",football sports ball game outdoor nivia football
PRD077,Samsung Smart Watch 2.0,Electronics,Samsung,3801.0,3.3,"Samsung Smart Watch 2.0. Smart watch with a 16 day battery, SpO2 tracking, heart rate monitor and call support. Pairs instantly over Bluetooth 5.3 and remembers the last two devices. Tuned for punchy bass with a clear mid range for podcasts and calls.",watch smartwatch fitness tracker battery samsung smart watch
PRD078,Woodland Sports Sandals,Fashion,Woodland,513.0,4.0,Woodland Sports Sandals. Durable sports sandals with adjustable straps and a cushioned anti-skid sole. Breathable weave keeps you cool through humid afternoons. Available in a regular fit that suits most Indian body types.,sandals sports comfortable anti-skid outdoor woodland sports sandals
PRD079,Biba Cotton Kurta 2.0,Fashion,Biba,1249.0,4.0,"Biba Cotton Kurta 2.0. Breathable cotton kurta with a regular fit, ideal for daily wear and festive occasions. Machine washable fabric that holds colour after repeated washes. Skin friendly dye, free from harsh azo chemicals.",kurta cotton ethnic clothing comfortable biba cotton kurta
PRD080,Realme Bluetooth Speaker Classic,Electronics,Realme,1211.0,3.7,"Realme Bluetooth Speaker Classic. Portable bluetooth speaker with 8 hour playback, deep bass and IPX6 splash resistance. Lightweight build that slips easily into a laptop bag or jacket pocket. Type C fast charging gives a full day of use from a ten minute top up.",speaker bluetooth wireless audio bass portable realme bluetooth speaker
PRD081,Hawkins Steel Lunch Box Plus,Home & Kitchen,Hawkins,616.0,3.8,Hawkins Steel Lunch Box Plus. Leak proof stainless steel lunch box with 2 compartments and an insulated sleeve. A practical gift for a new home or a wedding. Works on gas stoves as well as induction cooktops.,lunchbox steel kitchen tiffin insulated hawkins steel lunch box
PRD082,Butterfly Storage Container Set Max,Home & Kitchen,Butterfly,614.0,4.2,"Butterfly Storage Container Set Max. Airtight storage container set of 10, stackable and dishwasher safe. Food grade stainless steel with no plastic in contact with food. A practical gift for a new home or a wedding.",container storage kitchen airtight set butterfly storage container set
PRD083,Sparx Cotton Kurta Classic,Fashion,Sparx,627.0,3.8,"Sparx Cotton Kurta Classic. Breathable cotton kurta with a regular fit, ideal for daily wear and festive occasions. Breathable weave keeps you cool through humid afternoons. A staple piece that works from office desk to evening out.",kurta cotton ethnic clothing comfortable sparx cotton kurta
PRD084,Woodland Cotton T-Shirt 2.0,Fashion,Woodland,332.0,4.4,Woodland Cotton T-Shirt 2.0. Soft combed cotton t shirt with a round neck and colourfast print. Available in a regular fit that suits most Indian body types. A staple piece that works from office desk to evening out.,tshirt cotton casual clothing comfortable woodland cotton t-shirt
PRD085,Biotique Sunscreen SPF 50 Max,Beauty,Biotique,666.0,4.2,"Biotique Sunscreen SPF 50 Max. Non greasy broad spectrum SPF 50 sunscreen suitable for daily Indian sun exposure. Formulated for Indian weather, from dry winters to humid monsoons. Cruelty free and never tested on animals.",sunscreen spf skincare beauty protection biotique sunscreen spf 50
PRD086,Decathlon Dumbbell Set Lite,Sports,Decathlon,1825.0,4.2,Decathlon Dumbbell Set Lite. PVC coated dumbbell set of 10kg pairs with a knurled grip. Comes with a carry bag for easy storage and transport. Sweat resistant finish wipes clean after every session.,dumbbell fitness gym weights exercise decathlon dumbbell set
PRD087,Rupa Self-Help Book,Books,Rupa,699.0,4.2,Rupa Self-Help Book. A practical self help book on building habits that actually stick. Widely recommended by readers and reviewers alike. Compact paperback edition that travels well.,book selfhelp habits reading motivation rupa self-help book
PRD088,Milton Thermosteel Flask 1L,Home & Kitchen,Milton,649.0,4.4,Vacuum insulated stainless steel flask that keeps drinks hot or cold for up to 24 hours.,flask thermos insulated steel coffee tea travel
PRD089,Peter England Running Shorts 2.0,Fashion,Peter England,652.0,3.5,Peter England Running Shorts 2.0. Quick dry running shorts with an elastic waistband and side pockets. Breathable weave keeps you cool through humid afternoons. Available in a regular fit that suits most Indian body types.,shorts running sports clothing quickdry peter england running shorts
PRD090,Biba Cotton Kurta Classic,Fashion,Biba,621.0,4.3,"Biba Cotton Kurta Classic. Breathable cotton kurta with a regular fit, ideal for daily wear and festive occasions. Skin friendly dye, free from harsh azo chemicals. Reinforced stitching at stress points for a longer life.",kurta cotton ethnic clothing comfortable biba cotton kurta
PRD091,Cello Insulated Coffee Mug,Home & Kitchen,Cello,349.0,4.0,"Double walled insulated travel mug with a leak proof lid, keeps coffee hot on the commute.",mug coffee travel insulated hot flask
PRD092,Maybelline Kajal Pencil Lite,Beauty,Maybelline,184.0,3.6,Maybelline Kajal Pencil Lite. Smudge proof kajal pencil with an intense matte black finish that lasts all day. Cruelty free and never tested on animals. Travel friendly pack that fits in a handbag.,kajal makeup eyes beauty smudgeproof maybelline kajal pencil
PRD093,Woodland Sports Sandals 2.0,Fashion,Woodland,562.0,3.5,Woodland Sports Sandals 2.0. Durable sports sandals with adjustable straps and a cushioned anti-skid sole. Reinforced stitching at stress points for a longer life. A staple piece that works from office desk to evening out.,sandals sports comfortable anti-skid outdoor woodland sports sandals
PRD094,Rupa Cookbook Classic,Books,Rupa,415.0,4.3,"Rupa Cookbook Classic. A regional Indian cookbook with 110 tested home style recipes and cooking tips. Written in clear, accessible language for the general reader. A thoughtful gift for a curious friend or a student.",book cookbook cooking recipes kitchen gift rupa cookbook
PRD095,Pigeon Stainless Kitchen Knife Set,Home & Kitchen,Pigeon,449.0,4.0,"Five piece stainless steel knife set for chopping, slicing and everyday kitchen cooking.",knife kitchen cooking steel set gift
